Date,momentum,value,quality,low_vol,size,growth,dividend,profitability
2021-08-02,1.0,0.9639184265557598,1.0427746230163368,1.049259156807216,1.011631236426919,1.0,1.0,1.0578459598152032
2021-08-03,1.0,0.9681048793297535,1.036172542816116,1.0441611202934369,1.0060074866615603,1.0,1.0,1.0697117008561652
2021-08-04,1.0,0.9541113801322699,1.0354138716981731,1.0424043101321878,1.0121340636935265,1.0,1.0,1.0804585018120094
2021-08-05,1.0,0.9651774569573296,1.017592803243143,1.0299502501189974,1.005489514171209,1.0,1.0,1.077053262577268
2021-08-06,1.0,0.9752052269446009,1.0091640138310887,1.0227129253891158,1.0014132913721605,1.0,1.0,1.071662596910733
2021-08-09,1.0,0.9747156447843954,1.0090755950039925,1.0215611344405873,0.9966958240841186,1.0,1.0,1.0707644966855725
2021-08-10,1.0,0.9914422226656743,0.9998263463101741,1.0191410098853189,0.9840868959527366,1.0,1.0,1.061551295193228
2021-08-11,1.0,0.9965798094247197,0.9998505565602734,1.0219549277192657,0.9859948920024475,1.0,1.0,1.0590597965617363
2021-08-12,1.0,0.9912560388553321,1.0043383894473688,1.0291714232111642,0.9865607894735362,1.0,1.0,1.0640390828557968
2021-08-13,1.0,0.9801871639998904,1.0206650164021505,1.0443731152311293,0.9907324031017902,1.0,1.0,1.0684023140281211
2021-08-16,1.0,0.9677265190566964,1.0489731226104102,1.0725523447929053,1.0029898029472715,1.0,1.0,1.0805598149108555
2021-08-17,1.0,0.959557265364054,1.0643211523005316,1.0932275391937964,1.010761335398645,1.0,1.0,1.0868220305997374
2021-08-18,1.0,0.9630207489655008,1.0579298251912412,1.0844843751326574,1.003984620486776,1.0,1.0,1.0831450308216584
2021-08-19,1.0,0.9464530647028304,1.0940993894642432,1.1107618812146698,1.0172756469827975,1.0,1.0,1.1024259494259612
2021-08-20,1.0,0.9462909696989912,1.0898472559060197,1.1042703783999097,1.0172649738995072,1.0,1.0,1.1047938201230214
2021-08-23,1.0,0.9630366695087738,1.0542842441802334,1.0649895491289436,0.9985753158145049,1.0,1.0,1.081177386990807
2021-08-24,1.0,0.9759617148540994,1.0234232006109079,1.0399609968854626,0.9888556717400734,1.0,1.0,1.060430661334145
2021-08-25,1.0,0.9787315860505722,1.014263470333698,1.0287578556649126,0.9875543942959545,1.0,1.0,1.0608287647186116
2021-08-26,1.0,0.971211717989211,1.020830607474091,1.0361160493747836,0.9902308203867948,1.0,1.0,1.0708848300295823
2021-08-27,1.0,0.9854316048414719,0.9958094660156566,1.012429352258638,0.9826236040003636,1.0,1.0,1.055862711475262
2021-08-30,1.0,0.9743084319836723,1.009940331109879,1.0217795432071524,0.9889579009948327,1.0,1.0,1.072929820837802
2021-08-31,1.0,0.9789164214878016,1.0103985424017408,1.0247930023544212,0.9869552568236124,1.0,1.0,1.0632860254613803
2021-09-01,1.0,0.9710022783121333,1.0189800792349126,1.0356893522435968,0.9930667697742886,1.0,1.0,1.068665817320708
2021-09-02,1.0,0.9787613689233398,1.006853443102384,1.0249837826897847,0.988290131083683,1.0,1.0,1.0661683643065973
2021-09-03,1.0,0.9755563315505926,1.0107383020551506,1.0259985424647788,0.9899801714395563,1.0,1.0,1.0754106226616638
2021-09-07,1.0,0.9826804141193775,0.9976964172798358,1.0114106318726357,0.9797508413039383,1.0,1.0,1.06757017648041
2021-09-08,1.0,0.9715034291793758,1.0195299634422694,1.0379875102634881,0.9908511844594392,1.0,1.0,1.084842723878277
2021-09-09,1.0,0.9764784855598408,1.005338765843687,1.0236061264726202,0.9859877489432157,1.0,1.0,1.0776801672577687
2021-09-10,1.0,0.9760531003556759,1.0064413717436802,1.0220608593462797,0.9883556082909799,1.0,1.0,1.0811242109283519
2021-09-13,1.0,0.999274424086454,0.9922263743497394,1.0082991478486114,0.9753833887896614,1.0,1.0,1.0496153301599673
2021-09-14,1.0,0.9893120821291215,1.0044061400280564,1.0176134516498883,0.9817588144854834,1.0,1.0,1.0692859689176997
2021-09-15,1.0,0.9995103192682492,0.9855384963762132,0.9949512707812862,0.9766545818080578,1.0,1.0,1.0624024263823164
2021-09-16,1.0,0.9955883396428006,0.9866919034463973,0.9908194365006914,0.9777762203371785,1.0,1.0,1.062190942413734
2021-09-17,1.0,0.9969861597758588,0.9811832786633621,0.9889167120054536,0.9742153681874177,1.0,1.0,1.0519616534038996
2021-09-20,1.0,0.9843749788567988,1.0009941417740136,1.0139525533482077,0.9871968407687046,1.0,1.0,1.0557256610180683
2021-09-21,1.0,0.9834341558723277,1.0028076370142367,1.0122141167001635,0.9873449330714761,1.0,1.0,1.0626465682517383
2021-09-22,1.0,0.9928426697142848,0.982081308837038,0.9903988465400629,0.9774835987686793,1.0,1.0,1.0541425336608305
2021-09-23,1.0,1.0076264240616564,0.9623831235003689,0.9669262208266554,0.9652731566386914,1.0,1.0,1.0412856106445665
2021-09-24,1.0,1.014863607490437,0.9569780254821174,0.9622401976195019,0.9602174039686501,1.0,1.0,1.0354959317485182
2021-09-27,1.0,1.047484708456444,0.9227572787881353,0.9295092434702187,0.9461669124868252,1.0,1.0,0.9978622328093736
2021-09-28,1.0,1.0564240508879712,0.9246366418956256,0.9348707389036041,0.9451309457479822,1.0,1.0,0.9821558626559341
2021-09-29,1.0,1.049985603133565,0.944038174480359,0.9560892412564052,0.9508699160806056,1.0,1.0,0.9859066880576383
2021-09-30,1.0,1.0547588030383355,0.9385146419840422,0.9488410351625256,0.9472073856321295,1.0,1.0,0.9865771967454677
